tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Materiais Recicláveis,São José,Centro,Avenida Sul,s/n,Cooperativa,-8.075631,-34.891624
Materiais Recicláveis,Dois Unidos,Norte,Av. Chagas Ferreira,601,Cooperativa,-8.005045,-34.912247
Materiais Recicláveis,Torre,Oeste,Rua Eliezer Olímpio de Moura,100,Cooperativa,-8.0444575,-34.9129944
Materiais Recicláveis,São José,Centro,Travessa do Gusmão,178,Cooperativa,-8.071821,-34.886728
Materiais Recicláveis,Guabiraba,Noroeste,Av. Padre Mosca de Carvalho,s/n,Cooperativa,-8.0625,-34.93253
Materiais Recicláveis,Arruda,Norte,Avenida Professor José dos Anjos,s/n,Cooperativa,-8.020267,-34.874597
Materiais Recicláveis,São José,Centro,Rua Pacatuba,s/n,Cooperativa,-8.076567,-34.897539
Materiais Recicláveis,São José,Centro,Rua Oscar de Melo,s/n,Cooperativa,-8.077965,-34.899157
Materiais Recicláveis,Imbiribeira,Sul,R. Antônio Cardoso da Fonte,483,Cooperativa,-8.097676,-34.919589
Materiais Recicláveis,Ibura,Sul,Rua Rio Uma,150,Cooperativa,-8.114698,-34.931643
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Arruda,Norte,Av. Prof. José dos Anjos,,Ecoestação Arruda,-8.0277576,-34.8924758
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Campo Grande,Norte,Av. Agamenon Magalhães com Rua Odorico Mendes,,Ecoestação Campo Grande,-8.039289,-34.878378
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Cohab,Sul,Av. Rio Largo com Avenida Santos,,Ecoestação Cohab,-8.115278,-34.953455
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Ibura,Sul,Rua Rio Tapado,,Ecoestação Ibura,-8.116757,-34.943218
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Imbiribeira,Sul,Av. Mascarenhas de Morais,,Ecoestação Imbiribeira,-8.123213,-34.914702
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torre,Oeste,Rua Ciclovia República da Argélia,,Ecoestação Torre,-8.044172,-34.916232
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torrões,Oeste,Rua Maestro Jones Johnsson,,Ecoestação Torrões,-8.057741,-34.935627
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Totó,Sudoeste,Rua Onze de Agosto,,Ecoestação Totó,-8.077674,-34.971714
Materiais Recicláveis,Santo Amaro,Centro,R. da Aurora,s/n,PEV,-8.054841,-34.876912
Materiais Recicláveis,Recife,Centro,Av. Rio Branco,261,PEV,-8.062349,-34.873686
Materiais Recicláveis,Recife,Centro,Av. Alfredo Lisboa,11,PEV,-8.063356,-34.871452
Materiais Recicláveis,Santo Antônio,Centro,Praça da Independência ,,PEV,-8.064063,-3.487838
Materiais Recicláveis,Santo Antônio,Centro,R. Princesa Isabel,405,PEV,-8.058049,-34.882241
Materiais Recicláveis,Ilha do Leite,Centro,Praça Miguel de Cervantes,,PEV,-8.066343,-34.893374
Materiais Recicláveis,Boa Vista,Centro,Av. Lins Petit,3,PEV,-8.060482,-34.894897
Materiais Recicláveis,Recife,Centro,Cais do Apolo,905,PEV,-8.054718,-34.872298
Materiais Recicláveis,Boa Vista,Centro,Av. da Saudade,28,PEV,-8.050546,-34.883392
Materiais Recicláveis,Boa Vista,Centro,Praça Parque Amorim ,,PEV,-8.051907,-34.895045
Materiais Recicláveis,Recife,Centro,Praça do Arsenal da Marinha,35 Sala 803,PEV,-8.061433,-34.871067
Materiais Recicláveis,Recife,Centro,Av. Rio Branco,155 A,PEV,-8.062639,-34.872884
Materiais Recicláveis,Soledade,Centro,R. João Fernandes Viêira,160,PEV,-8.054543,-3.489133
Materiais Recicláveis,Hipódromo,Norte,R. Carlos Fernandes,264,PEV,-8.032606,-34.886425
Materiais Recicláveis,Santo Amaro,Centro,Av. Gov. Agamenon Magalhães,1956,PEV,-8.039209,-34.878273
Materiais Recicláveis,Peixinhos,Norte,Av. Prof. José dos Anjos,36,PEV,-8.020321,-34.874485
Materiais Recicláveis,Encruzilhada,Norte,R. Amaro Coutinho,675,PEV,-8.032911,-34.896082
Materiais Recicláveis,Casa Forte,Noroeste,Av. Dezessete de Agosto,1386,PEV,-8.035757,-34.920196
Materiais Recicláveis,Monteiro,Noroeste,Av. Dezessete de Agosto,2702,PEV,-8.027942,-3.492823
Materiais Recicláveis,Poço da Panela,Noroeste,Estr. Real do Poço,494,PEV,-8.036449,-34.924747
Materiais Recicláveis,Morro da Conceição,Noroeste,"Estrada do Morro da Conceição,",442,PEV,-8.019322,-34.914722
Materiais Recicláveis,Graças,Noroeste,Av. Rui Barbosa,1899,PEV,-8.037776,-34.905772
Materiais Recicláveis,Parnamirim,Noroeste,Av. Dezessete de Agosto,177,PEV,-8.03418,-34.911283
Materiais Recicláveis,Jaqueira,Noroeste,R. do Futuro,1100,PEV,-8.036243,-34.903834
Materiais Recicláveis,Graças,Noroeste,Rua Senador Alberto Paiva,71-115,PEV,-8.043843,-34.901419
Materiais Recicláveis,Jaqueira,Noroeste,Rua Hoel Sette,109,PEV,-8.036238,-34.902906
Materiais Recicláveis,Cordeiro,Oeste,Praça do Arraial Novo do Bom Jesus ,,PEV,-8.057104,-34.930558
Materiais Recicláveis,Torrões,Oeste,R. Tumiritinga,115,PEV,-8.057688,-34.935291
Materiais Recicláveis,Iputinga,Oeste,R. Ciclovia República da Argélia,10,PEV,-8.044144,-34.916223
Materiais Recicláveis,Iputinga,Oeste,Praça Bom Pastor,1308,PEV,-8.048485,-34.940198
Materiais Recicláveis,Engenho do Meio,Oeste,R. Antônio Curado,352-428,PEV,-8.057298,-34.942138
Materiais Recicláveis,Ilha do Retiro,Oeste,Av. Sport Clube do Recife,830,PEV,-8.061184,-34.902856
